Name Of The Course ,Institute,Number of learners,Link,Description,Type,Category
master microsoft 365 essential skills and beyond, Crafty E-learning,"3,327",https://alison.com/course/master-microsoft-365-essential-skills-and-beyond#l-main-pub,"Compare document creation tools like Word, Excel, and Po,  Identify advanced features for effective coll,  Analyze privacy and security measures in Office 365", Certification course,Information Technology
procurement in sap s 4haha, Espresso Tutorials,"8,948",https://alison.com/course/procurement-in-sap-s-4haha#l-main-pub,"Describe the new functions in the SAP S/4HANA Material M,  Explain customer-vendor-integration and business partner,  Select the analytical Fiori apps for purchase requisitio", Certification course,business
introduction to microsoft outlook 2019, SimonSezIT,"13,836",https://alison.com/course/introduction-to-microsoft-outlook-2019#l-main-pub,"Compare the differences between Outlook 2019 versus Outl,  Identify the keyboard Shortcuts in Outlook,  Explain how to navigate the Outlook interface", Certification course,Information Technology
introduction to electronic document management, John Academy,"1,603",https://alison.com/course/introduction-to-electronic-document-management#l-main-pub,"Explain intelligent automation and its role in transform,  Recognise the importance of compliance with EDM standard,  Summarise the importance of metadata manageme", Certification course,Information Technology
microsoft word 2021, SimonSezIT,"8,862",https://alison.com/course/microsoft-word-2021#l-main-pub,"Explain the core concepts of spell check and its key sho,  Analyse how to open and edit documents effect,  Evaluate the Word interface and work with the ruler,  Identify how to create and save a document", Certification course,education
microsoft word 2013 basic, Workforce Academy Partnership,"27,910",https://alison.com/course/microsoft-word-2013-basic#l-main-pub,"Explain how to edit a document,  Outline text and paragraph formatting,  Evaluate your document for proofing", Certification course,personal-development
sharepoint online, SimonSezIT,"7,155",https://alison.com/course/sharepoint-online#l-main-pub,"Describe how to work using lists on SharePoin,  Analyse how to navigate the SharePoint page,  Indicate how to create a practice site,  List the reasons why you should use SharePoint", Certification course,Information Technology
mastering the basics of microsoft excel, Paul Owusu Okyere,"50,834",https://alison.com/course/mastering-the-basics-of-microsoft-excel#l-main-pub,"Define ?Microsoft Excel? and ?spreadsheets?,  Describe how to print an Excel document,  Explain nested ?IF? functions", Certification course,personal-development
understanding the general data protection regulation gdpr, Training Facility UK,"1,761",https://alison.com/course/understanding-the-general-data-protection-regulation-gdpr#l-main-pub,"Outline the legislative history of the EU?s Data Protect,  Discuss the ?checklist? that summarises the essential ob,  Explain the data rights as laid out in the Ge", Certification course,Information Technology
ai risk management and incident response, Exoexcellence Consultants,260,https://alison.com/course/ai-risk-management-and-incident-response#l-main-pub,"Indicate the various risk assessment methodologies to ev,  Outline the process to create comprehensive incident res,  Discuss the best practices for documenting in", Certification course,Information Technology
become a job hunting professional on linkedin, Digital Partner,"1,574",https://alison.com/course/become-a-job-hunting-professional-on-linkedin#l-main-pub,"Analyse the typical mistakes people make while building ,  Explain why LinkedIn should not be considered,  Establish the importance of LinkedIn for professionals", Certification course,business
databases dml statements and sql server administration revised, Channel 9,"24,340",https://alison.com/course/databases-dml-statements-and-sql-server-administration-revised#l-main-pub,"Explain how to use the SELECT statement to retrieve data,  Discuss modifying  your database using INSERT, UPDATE AN,  Descibe how to use the aggregate functions wi", Certification course,business
linux network administrator, Imran Afzal,"16,352",https://alison.com/course/linux-network-administrator#l-main-pub,"Analyse the role of the anaconda installation,  Describe the function of Oracle VirtualBox,  State the different system tabs in Linux CentOS 8,  Outline the process of creating a virtual machine", Certification course,business
linux pam administration, Imran Afzal,955,https://alison.com/course/linux-pam-administration#l-main-pub,"Define Linux PAM,  State the function of Oracle VirtualBox,  Recall how to install Linux CentOS on your computer", Certification course,business
intermediate excel 2021, SimonSezIT,"10,067",https://alison.com/course/intermediate-excel-2021#l-main-pub,"Analyse the ?golden rules? of using spreadsheets,  Explain adding ?navigation? buttons,  Identify the various functions in the spreadsheet", Certification course,Information Technology
introduction to cyber law, Course Gate,774,https://alison.com/course/introduction-to-cyber-law#l-main-pub,"Identify the threat of cybercrime in the financial secto,  State the cybersecurity laws and rules of cyberspace,  Review the UK legislation regarding cybercrime,  Define identity theft and spam", Certification course,education
enhancing your online business security, Proactive Ideas,514,https://alison.com/course/enhancing-your-online-business-security#l-main-pub,"Analyse the methods used by cybercriminals to assess pot,  Outline strategies for securing your business against cy,  List the common types of cyber attacks", Certification course,business
artificial intelligence preparing for the future of work, Idorenyin Umoh,"6,829",https://alison.com/course/artificial-intelligence-preparing-for-the-future-of-work#l-main-pub,"Discuss what ?artificial intelligence? (AI) is,  Outline the categories of artificial intelligence,  Describe the impact of AI on the job market", Certification course,Information Technology
introduction to computer hardware and software, Training Facility UK,"22,646",https://alison.com/course/introduction-to-computer-hardware-and-software#l-main-pub,"Summarise the evolution of computers and iden,  List various hardware and software devices,  Explain the role of the central processing unit (CPU)", Certification course,Information Technology
computer networking digital network security revised, Channel 9,"1,63,778",https://alison.com/course/computer-networking-digital-network-security-revised#l-main-pub,"List the two types of Packet filtering and th,  Describe how Firewalls protect network security,  Describe how the role of a Perimeter network", Certification course,Information Technology
basics of cisco network associates, Academy Of Skills,"4,511",https://alison.com/course/basics-of-cisco-network-associates#l-main-pub,"Explain the basics of computer networking and how it wor,  Describe how networks work and how IP addresses are allo,  Discuss how to automate and manage a network", Certification course,Information Technology
microsoft access masterclass, Ermin Dedic,"3,599",https://alison.com/course/microsoft-access-masterclass#l-main-pub,"Explain how reports, controls and queries are,  Explain how to navigate a table and edit records,  Summarize how to create tables,  Define reports and queries", Certification course,Information Technology
guide to security for linux systems, Imran Afzal,"2,596",https://alison.com/course/guide-to-security-for-linux-systems#l-main-pub,"Discuss the process of creating a virtual mac,  Explain the function of Oracle VirtualBox,  Recall the different system tabs in Linux CentOS 8", Certification course,Information Technology
ms outlook 2013 basic, Workforce Academy Partnership,"3,571",https://alison.com/course/ms-outlook-2013-basic#l-main-pub,"Analyze and customize the Microsoft Outlook i,  Categorize your email messages in Microsoft Outlook,  Describe how to create contacts in Outlook,  Arrange your appointments in the calendar", Certification course,business
how data communication works, Xpert Learning,987,https://alison.com/course/how-data-communication-works#l-main-pub,"Recognize the fundamental knowledge about the architectu,  Describe the fundamentals of computer communication,  Explain the foundations of protocol layering,  Classify the modern means of communication", Certification course,Information Technology
basics of computer networking, Stone River eLearning,"34,473",https://alison.com/course/basics-of-computer-networking#l-main-pub,"Discuss the benefits and components of a computer networ,  Recall the various configurations of the Local Area Netw,  State the properties of the different layers ,  Distinguish between the different network topologies", Certification course,Information Technology
mastering google docs, Jan Ekhteyari,"2,019",https://alison.com/course/mastering-google-docs#l-main-pub,"Identify the menu that allows you to add tables, images ,  Outline the role of Google Drive with regards,  List at least three settings in the ?formatting? menu,  Describe two ways to enable working offline", Certification course,business
how to build your own computer, Training Express,"10,228",https://alison.com/course/how-to-build-your-own-computer#l-main-pub,"Select the hardware components and parts required for bu,  Recall the step-by-step procedures for assembling a micr,  List the peripheral devices that aid the I/O operations ", Certification course,Information Technology
introduction to multiple domain hosting on one virtual server, YouAccel Training,890,https://alison.com/course/introduction-to-multiple-domain-hosting-on-one-virtual-server#l-main-pub,"Discuss how to create and attach floating IPs to Digital,  Recall how to create the directory structure for hosting,  Outline the installation process for MySQL an", Certification course,Information Technology
introduction to devops revised, Channel 9,"18,974",https://alison.com/course/introduction-to-devops-revised#l-main-pub,"List the benefits of DevOps,  List some of DevOps practices,  Describe load testing", Certification course,Information Technology
microsoft excel formulas and functions, Paul Owusu Okyere,"58,620",https://alison.com/course/microsoft-excel-formulas-and-functions#l-main-pub,"List examples and uses of spreadsheet applica,  Discuss Excel and error messages in Excel,  Analyse how to use ?trim? and ?truncate? functions", Certification course,education
algemene verordening gegevensbescherming avg, Advance Learning - Human Resources (HR),292,https://alison.com/course/algemene-verordening-gegevensbescherming-avg#l-main-pub,"Het doel van de Algemene Verordening Gegevensbescherming,  Beschrijf wat organisaties kunnen doen ter voorbereiding,  De rol van de Data Protection Officer (DPO) i", Certification course,business
zero trust cybersecurity model imperative concepts for beginners, Exoexcellence Consultants,"4,527",https://alison.com/course/zero-trust-cybersecurity-model-imperative-concepts-for-beginners#l-main-pub,"Compare perimeter-based security measures implemented by,  Discuss how cyber security dynamics have changed recentl,  Relate the NIST 800-207 standard to the estab", Certification course,Information Technology
certified blockchain security examiner cbse level 1, Prakash Prasad,"4,024",https://alison.com/course/certified-blockchain-security-examiner-cbse-level-1#l-main-pub,"Explain key issues in regulating blockchain p,  Define Smart Contract and ICO (Initial Coin Offering),  Categorize various Smart Security Considerations", Certification course,Information Technology
devops fundamentals, Training Facility UK,"3,987",https://alison.com/course/devops-fundamentals#l-main-pub,"List the foundational elements of DevOps according to th,  Outline the importance of company culture in guiding emp,  Discuss the key principles of DevOps,  Identify the key aspects of DevOps", Certification course,Information Technology
introduction to windows server administration revised, Channel 9,"26,561",https://alison.com/course/introduction-to-windows-server-administration-revised#l-main-pub,"Identify the different system settings for co,  Identify the primary subsystems in a computer system,  Explain the BIOS of a computer", Certification course,Information Technology
introduction to drones revised, Channel 9,"28,706",https://alison.com/course/introduction-to-drones-revised#l-main-pub,"Define common acronyms related to drones,  Discuss the common components of a drone,  Describe roll, pitch, yaw and throttle", Certification course,Information Technology
digital security awareness, Workforce Academy Partnership,"14,088",https://alison.com/course/digital-security-awareness#l-main-pub,"Recognize the signs of identity theft,  Explain the process for data classification,  Outline how to protect your digital information", Certification course,education
a brief guide to cyber security, SONIC Performance Support - E-Learning Experts,"7,388",https://alison.com/course/a-brief-guide-to-cyber-security#l-main-pub,"Identify cyber attacks and reduce the chances of data br,  Outline cyber attack tactics and techniques,  Explain how to prevent cyber attacks,  Analyze the various types of cyber attacks", Certification course,Information Technology
tableau software, Pavan Lalwani,"9,101",https://alison.com/course/tableau-software#l-main-pub,"Compare the layout, features and functions of Tableau an,  Recall the dimensions and measurements requir,  Describe what Tableau is and how you can use it,  Identify a wide variety of charts and maps", Certification course,Information Technology
sap crm revolutionizing customer relationships, Exoexcellence Consultants,504,https://alison.com/course/sap-crm-revolutionizing-customer-relationships#l-main-pub,"Explain the components and layers of SAP CRM architectur,  List and describe the main functional modules and featur,  Outline the traditional GUI-based interface w", Certification course,business
the essentials of oracle primavera p6, Exoexcellence Consultants,502,https://alison.com/course/the-essentials-of-oracle-primavera-p6#l-main-pub,"Distinguish between project management and portfolio man,  Identify the main components of project management and p,  Indicate the industries where Oracle Primaver", Certification course,Information Technology
managing ai governance in organizations with iso 42001, Exoexcellence Consultants,290,https://alison.com/course/managing-ai-governance-in-organizations-with-iso-42001#l-main-pub,"Outline the three main security threats AI systems can f,  Summarize the concept of the AI security triad and its t,  Define the four main considerations and requi", Certification course,business
microsoft visio 2019, SimonSezIT,"3,656",https://alison.com/course/microsoft-visio-2019#l-main-pub,"Explain how to acquire Visio 2019 and properly operate i,  Describe the main functions and features of the workspac,  Discuss the basics of creating shapes and starter diagra", Certification course,Information Technology
beginners guide to microsoft word, Jan Ekhteyari,"11,120",https://alison.com/course/beginners-guide-to-microsoft-word#l-main-pub,"Explain the process of managing documents in Microsoft W,  Recognise the opportunities and benefits of MS Word's me,  Explain how to use Microsoft Word?s interface", Certification course,business
secure software testing and acceptance, Stone River eLearning,"5,443",https://alison.com/course/secure-software-testing-and-acceptance#l-main-pub,"Explain the role of security testing in the acceptance, ,  Describe how to meet the quality standards for software ,  Indicate the process for proper code analysis", Certification course,Information Technology
