Name Of The Course ,Institute,Number of learners,Link,Description,Type,Category
introduction to economic growth and development, NPTEL,"1,643",https://alison.com/course/introduction-to-economic-growth-and-development#l-main-pub,"Distinguish the structural features of developed and dev,  Explain basic concepts of economic growth and developmen,  Summarize the structural adjustment prescript", Certification course,education
fundamentals of english grammar revised, XSIQ,"73,954",https://alison.com/course/fundamentals-of-english-grammar-revised#l-main-pub,"Recognize the parts of speech of the English language,  Discuss the purpose of punctuation in the English langua,  Indicate the correct use of punctuation in the English l,  Discuss how the past tense is structured in t", Certification course,language
fundamental data analysis using power bi, Manish Gupta,"12,807",https://alison.com/course/fundamental-data-analysis-using-power-bi#l-main-pub,"Describe Power BI and define its basics,  List all the tools and functions in Power BI", Certification course,Information Technology
stress management a holistic approach, Moonlight Spirit,438,https://alison.com/course/stress-management-a-holistic-approach#l-main-pub,"Identify common sources of stress in your daily life, no,  Apply techniques for setting healthy boundaries and lear,  Create your own stress management plan that c", Certification course,personal-development
postmodern cinema and westerns, NPTEL,681,https://alison.com/course/postmodern-cinema-and-westerns#l-main-pub,"Explain the concept of ?genre? in cinema,  Describe the characteristics of gangster cine,  Identify the different categories of genres", Certification course,education
resume building workshop, Emma Paunil,"1,976",https://alison.com/course/resume-building-workshop#l-main-pub,"Explain how to write a professional résumé,  Describe the right outfit to put on when attending an in,  Distinguish between acting, arts and performa,  Identify a good, bad or great résumé", Certification course,education
introduction to entrepreneurship, NPTEL,"7,062",https://alison.com/course/introduction-to-entrepreneurship#l-main-pub,"Define ?entrepreneurship?,  Contrast tangible property to intangible prop,  List famous business organisations of the world", Certification course,business
homeschooling in early childhood, Ilbey UÇAR,207,https://alison.com/course/homeschooling-in-early-childhood#l-main-pub,"Recognize the Basics of Different Educational Models,  Compare different educational philosophies, including Mo,  Explain what dyslexia is, identify the characteristics o,  Evaluate the legal requirements for homeschoo", Certification course,education
learn how to master facebook ads for beginners and experts, Juan Galvan,"18,885",https://alison.com/course/learn-how-to-master-facebook-ads-for-beginners-and-experts#l-main-pub,"Indicate how Facebook Ads are essential to any business,  List the different stages of Facebook market sophisticat,  State the formula for creating profitable Fac", Certification course,business
medieval history art and architecture, Edukators London Ltd.,"3,526",https://alison.com/course/medieval-history-art-and-architecture#l-main-pub,"Distinguish between different periods of the Middle Ages,  Identify factors that lead to the collapse of the Roman ,  Analyze the rise and spread of Christianity a", Certification course,education
excellence in hr mastering performance recognition and reward, Capella Systems,259,https://alison.com/course/excellence-in-hr-mastering-performance-recognition-and-reward#l-main-pub,"Analyse the interplay between internal and external busi,  Evaluate the financial implications of different reward ,  Discuss the role of people practice in enhanc", Certification course,business
theory of person centered care, Training Station,373,https://alison.com/course/theory-of-person-centered-care#l-main-pub,"Recognise what person-centred care is and the types of c,  Classify the principles of this type of care and how it ,  Evaluate the framework of this business and how to becom", Certification course,health
fundamentals of electrical switchgear, NPTEL,"3,769",https://alison.com/course/fundamentals-of-electrical-switchgear#l-main-pub,"Explain the different types of protection used in induct,  Discuss the various kinds of protection schemes for busb,  Summarise the protection schemes used for tra", Certification course,engineering
start your business now and integrate sustainability, Stefan Doering,"1,732",https://alison.com/course/start-your-business-now-and-integrate-sustainability#l-main-pub,"Discuss the entrepreneurial success factors and the mind,  Distinguish between expenditures and expenses of a busin,  Explain the concept of sustainability and its", Certification course,business
capcut video editing masterclass, Dr Rasheed,"9,965",https://alison.com/course/capcut-video-editing-masterclass#l-main-pub,"Recall the basics of CapCut video editing software,  State the best aspect ratios for editing videos for diff,  Discuss the available options for importing media into C,  Outline the tools found under the transform c", Certification course,Information Technology
understanding and managing tax in the uk, Training Express,804,https://alison.com/course/understanding-and-managing-tax-in-the-uk#l-main-pub,"List the various tax types and revenue sources,  Indicate the national insurance based on crit,  Define VAT, its purpose, and implications", Certification course,business
introduction to decision making, Professional Academy,"1,468",https://alison.com/course/introduction-to-decision-making#l-main-pub,"Define and discuss different types of decisions,  Analyze the pros and cons of individual and group decisi,  List various tools and techniques for making ,  Explain five potential challenges to Decision Making", Certification course,business
hands on android security, EC-Council Learning,"5,510",https://alison.com/course/hands-on-android-security#l-main-pub,"Analyse Android applications,  Distinguish between mobile security threats a,  Define 'Android device'", Certification course,Information Technology
learn english the media and questions in indirect speech, Advance Learning - Learn English,"1,807",https://alison.com/course/learn-english-the-media-and-questions-in-indirect-speech#l-main-pub,"List vocabulary related to mass media and the news,  Recall the use of punctuation to create three different ,  Identify and compare the different tenses use", Certification course,education
conflicts of interest in business ethics and crisis management," Global Ethics, Inc","1,549",https://alison.com/course/conflicts-of-interest-in-business-ethics-and-crisis-management#l-main-pub,"Compare tips for protecting classified information,  Recognize confidential information, trade secrets and in,  Distinguish copyrights, patents and trademark", Certification course,business
landscape architecture and site planning historical landscape styles, NPTEL,"3,312",https://alison.com/course/landscape-architecture-and-site-planning-historical-landscape-styles#l-main-pub,"Identify various factors influencing landscape styles,  Discuss the architectural elements of Mughal,,  Describe famous historical landscape styles", Certification course,engineering
customer growth strategies for online businesses, Proactive Ideas,"4,121",https://alison.com/course/customer-growth-strategies-for-online-businesses#l-main-pub,"Explain how to set specific goals for social media ads,  Analyse the four key elements of a successful social med,  Discuss how to research and target the right ", Certification course,business
fundamentals of html, Stone River eLearning,"11,752",https://alison.com/course/fundamentals-of-html#l-main-pub,"Define HTML,  Explain the major improvements in the latest version of ,  Discuss the processes involved in downloading and instal,  Compare the inline element and block-level el", Certification course,Information Technology
introduction to finance and financial analysis, Professional Academy,"10,179",https://alison.com/course/introduction-to-finance-and-financial-analysis#l-main-pub,"Describe different ways of valuing stock,  Identify the criteria corporations use when making finan,  Distinguish the rights and obligations of common and pre", Certification course,business
master adobe illustrator cc with ease, Juan Galvan,"5,880",https://alison.com/course/master-adobe-illustrator-cc-with-ease#l-main-pub,"Discuss the key skills of an illustrator,  Summarize how to use Adobe Illustrator to design graphic,  Distinguish between different brushes and dra", Certification course,business
beginner german 101, Kevin Gründel,"24,131",https://alison.com/course/beginner-german-101#l-main-pub,"Outline the importance of personal pronouns and verbs in,  Distinguish the regular and irregular forms of German ve,  Identify the gender of nouns and their corresponding art", Certification course,language
corporate communication, Professional Academy,187,https://alison.com/course/corporate-communication#l-main-pub,"Discuss intrapersonal communication,  Discuss employment interviewing", Certification course,business
understanding google ads, Mark Meyerson,"15,235",https://alison.com/course/understanding-google-ads#l-main-pub,"Identify all the key terms and aspects of Google Ads,  List the steps involved in setting up a Google Ads accou,  Analyze new keywords and come up with new ideas for your,  Explain what goes into ongoing Google Ads acc", Certification course,business
kundalini yoga with lisa grail, Lisa Grail,"3,927",https://alison.com/course/kundalini-yoga-with-lisa-grail#l-main-pub,"Explain kundalini yoga and list its benefits to your bod,  State the basic rules of kundalini yoga and kundalini yo,  Describe how to manage stress and improve your mental he", Certification course,personal-development
basics of minute taking at meetings, Xpert Learning,"2,123",https://alison.com/course/basics-of-minute-taking-at-meetings#l-main-pub,"Analyse the background and history of meeting minutes,  Summarise common reasons for failed meetings", Certification course,management
learn english hobbies and past perfect continuous tense, Advance Learning - Learn English,"5,423",https://alison.com/course/learn-english-hobbies-and-past-perfect-continuous-tense#l-main-pub,"Analyze the past perfect continuous tense,  List vocabulary words relating to hobbies and stress man,  Compare the past perfect continuous tense wit", Certification course,education
important guide to beginner stock investing, Stewardship Finance Academy,"4,971",https://alison.com/course/important-guide-to-beginner-stock-investing#l-main-pub,"Analyze key points to prepare yourself for investing,  Evaluate investment by making wise decisions based on th,  List your investment goals", Certification course,business
how to be a media trainer, TJ Walker,913,https://alison.com/course/how-to-be-a-media-trainer#l-main-pub,"Explain how to start the media training on a positive no,  Discuss why the number one thing to avoid is talking and,  Discuss why the second biggest flaw is wasting time brai", Certification course,personal-development
telepsychiatry principles and practices, Edu Rise,163,https://alison.com/course/telepsychiatry-principles-and-practices#l-main-pub,"Summarise the principles and approaches of psychiatric a,  Identify telepsychiatry-specific assessment tools and sc,  Recall advanced psychopharmacology principles", Certification course,health
understanding dividend investing in the stock market, Stone River eLearning,"2,248",https://alison.com/course/understanding-dividend-investing-in-the-stock-market#l-main-pub,"Outline the different stock trading platforms,  Indicate the ways to use balance sheets and c,  Describe the most common investing mistakes", Certification course,personal-development
video presentations and public speaking, TJ Walker,"2,899",https://alison.com/course/video-presentations-and-public-speaking#l-main-pub,"Describe a comprehensive video production strategy for a,  Explain and create simple ?talking head? videos for all ,  Analyze communications skills more effectivel", Certification course,personal-development
information systems technology and business models, NPTEL,"3,438",https://alison.com/course/information-systems-technology-and-business-models#l-main-pub,"Recall the organizational strategy framework,  Outline the functions of data centers in orga,  Define the concept of a ?balanced scorecard?", Certification course,business
managing absenteeism in the workplace, Mayfair College Ltd,221,https://alison.com/course/managing-absenteeism-in-the-workplace#l-main-pub,"Distinguish between absenteeism and tardiness to their i,  Recognise personal factors that contribute to absenteeis,  Distinguish between organisational and societ", Certification course,personal-development
marketing and promotion for business coaches and influencers, Proactive Ideas,271,https://alison.com/course/marketing-and-promotion-for-business-coaches-and-influencers#l-main-pub,"Define your brand?s unique identity,  Create a compelling brand story", Certification course,business
data analysis with tables and pivottables in microsoft excel 2013, SimonSezIT,"36,302",https://alison.com/course/data-analysis-with-tables-and-pivottables-in-microsoft-excel-2013#l-main-pub,"Recognize how to insert rows and columns into tables,  Identify how to create a table, name a table and remove ,  Discuss the use of table styles, reference an", Certification course,business
additive manufacturing architecture, NPTEL,"1,525",https://alison.com/course/additive-manufacturing-architecture#l-main-pub,"List different types of AM materials,  By the end of this course you will be able to: Identify ,  Discuss the basis of quality control in 3D pr", Certification course,business
marketing strategy to drive revenue growth, EntrepreneurNOW! Network,"1,663",https://alison.com/course/marketing-strategy-to-drive-revenue-growth#l-main-pub,"Define what is meant by the term ?competitive advantage?,  Describe how to find and segment your target ,  Explain how to position your business for success", Certification course,business
video game journalism essentials, Advance Learning - Journalism and Digitial Media,108,https://alison.com/course/video-game-journalism-essentials#l-main-pub,"Discuss the various aspects of the video game industry,  Analyse the history and evolution of video game journali,  Evaluate the legal and ethical considerations in video g,  Describe the core skills and types of content", Certification course,education
introduction to western political thought, NPTEL,"1,437",https://alison.com/course/introduction-to-western-political-thought#l-main-pub,"Define ?political thought?,  List questions commonly raised by political developments", Certification course,education
fundamentals of internet of things, NPTEL,"5,903",https://alison.com/course/fundamentals-of-internet-of-things#l-main-pub,"List and define some connectivity terminologies,  Discuss the different fundamental concepts behind the in,  Analyze the essential building blocks of the ", Certification course,Information Technology
introduction to marketing strategies and case analysis, NPTEL,"1,501",https://alison.com/course/introduction-to-marketing-strategies-and-case-analysis#l-main-pub,"Define what the term 'marketing' means,  Differentiate between the different types of ,  Explain how marketing has evolved over the years", Certification course,business
learn english housing features and relative clauses, Advance Learning - Learn English,"6,229",https://alison.com/course/learn-english-housing-features-and-relative-clauses#l-main-pub,"Compare the passive to the active voice,  List words and phrases related to searching for a new ho,  Identify the different forms of the verb 'be'", Certification course,education
principles and constructional features of gas turbines, ADU,"2,311",https://alison.com/course/principles-and-constructional-features-of-gas-turbines#l-main-pub,"Explain the working principles of a gas turbine (GT),  Outline the application of GT technology in modern shipp,  Lay out the advantages and disadvantages of G", Certification course,engineering
english for business and entrepreneurship, University of Pennsylvania,"41,482",https://alison.com/course/english-for-business-and-entrepreneurship#l-main-pub,"Develop effective reading strategies,  Use comparative language", Certification course,business
video editing using davinci resolve 18, Dr Rasheed,"1,448",https://alison.com/course/video-editing-using-davinci-resolve-18#l-main-pub,"Recognise basic video editing within DaVinci Resolve,  Identify some of the basic system requirements to run Da,  Discuss the basics of Fairlight and its use i", Certification course,Information Technology
easy korean for beginners, VOYAGERTHE3 (NROUND),"23,490",https://alison.com/course/easy-korean-for-beginners#l-main-pub,"List all the Hangul consonants and vowels,  Explain the basic structure of Korean sentenc,  Describe how to write Hangul letters", Certification course,language
learn how to create and deliver engaging webinars, eTrain London,"1,254",https://alison.com/course/learn-how-to-create-and-deliver-engaging-webinars#l-main-pub,"List the tips used to create high-quality webinars,  State why you should consider making a one-pa,  Explain how to set up your list and registration form", Certification course,business
english grammar prepositions and conjunctions intermediate level, Advance Learning - Learn English,"10,858",https://alison.com/course/english-grammar-prepositions-and-conjunctions-intermediate-level#l-main-pub,"Explain how conjunctions provide extra information in se,  Describe how conjunctions are used to give us informatio,  List examples of using nouns, pronouns and -i", Certification course,language
java programming for complete beginners, ClayDesk E-Learning,"57,022",https://alison.com/course/java-programming-for-complete-beginners#l-main-pub,"Write basic Java programs,  Build arrays in Java", Certification course,Information Technology
arabic for beginners, Lucrative Skills,"17,463",https://alison.com/course/arabic-for-beginners#l-main-pub,"Explain the key benefits of greetings, good manners and ,  Identify the Arabic number system (al-arqam) and colour ,  Differentiate between the ?sun? and ?moon? letters of th", Certification course,language
introduction to advertising, Professional Academy,"19,576",https://alison.com/course/introduction-to-advertising#l-main-pub,"Describe the distinctive nature of the  Shepardson, Ster,  Discuss the SWOTs and apply them to the solution of a pr,  Describe and evaluate the asymmetric communications brie", Certification course,business
the effects of autism on families, Ilbey UÇAR,418,https://alison.com/course/the-effects-of-autism-on-families#l-main-pub,"Summarise the definition and criteria for diagnosing aut,  Analyse the prevalence of autism and its contributing fa,  Identify the characteristics of children with", Certification course,personal-development
mastering the academic desk research paper, Leigh Faulkner,"6,035",https://alison.com/course/mastering-the-academic-desk-research-paper#l-main-pub,"Relate a focused research question or thesis statement,  Collect and analyze the information needed for a desk re,  Indicate appropriate ways to organize a desk ", Certification course,education
introduction to mobile app development with flutter, Zenva,"17,969",https://alison.com/course/introduction-to-mobile-app-development-with-flutter#l-main-pub,"Summarize the basics of how to build your User Interface,  Explain how to build a functional Flutter App that can r,  Identify how to favourite and unfavorite Cont", Certification course,education
learn english collocations and passive voice forms, Advance Learning - Learn English,"4,881",https://alison.com/course/learn-english-collocations-and-passive-voice-forms#l-main-pub,"Identify common collocations and their meanings,  Distinguish between collocations and phrasal ,  Explain how to use common phrasal verbs", Certification course,education
self portraiture and street style photoshoot, Claire Petersen,"9,750",https://alison.com/course/self-portraiture-and-street-style-photoshoot#l-main-pub,"Explain how to create some beautiful self-portraits (sel,  Describe the Tricks and techniques for getting the best ,  Describe various experimental ideas for self-", Certification course,personal-development
english grammar verbs intermediate level, Advance Learning - Learn English,"17,271",https://alison.com/course/english-grammar-verbs-intermediate-level#l-main-pub,"Prove the rules and examples of using the form verb  -i,  Create proper sentences using prepositions, verbs and ob,  Complete knowledge exercises involving regula", Certification course,language
complete spanish for beginners, Lucrative Skills,"47,772",https://alison.com/course/complete-spanish-for-beginners#l-main-pub,"Greet people and introduce yourself in both formal and c,  Pronounce Spanish words correctly without hearing them f,  Translate vocabulary words from different categories of ", Certification course,language
the process of organizational development, RapidEzy Training Systems,"1,155",https://alison.com/course/the-process-of-organizational-development#l-main-pub,"Explain the relationship between culture and the organiz,  Define ?effective organizations? and explain how to crea,  Describe the evolution of management thought ", Certification course,business
google apps for personal and business use, Paul Owusu Okyere,"2,084",https://alison.com/course/google-apps-for-personal-and-business-use#l-main-pub,"Identify how to create and manage a Gmail account,  Explain the benefits and major uses of Google Sites", Certification course,business
wordpress masterclass create your website for free with no coding skills, Crafty E-learning,"7,850",https://alison.com/course/wordpress-masterclass-create-your-website-for-free-with-no-coding-skills#l-main-pub,"Recognise parts of cPanel and create an email account,  Outline how to buy a domain name and choose a hosting se,  Describe how to install WordPress manually an", Certification course,Information Technology
a beginners guide to building websites using wix, Stone River eLearning,"4,034",https://alison.com/course/a-beginners-guide-to-building-websites-using-wix#l-main-pub,"Explain how to build a complete website with Wix,  Identify effective remarketing strategies you,  Recall how to monetise your email list", Certification course,business
english for stem, University of Pennsylvania,"13,709",https://alison.com/course/english-for-stem#l-main-pub,"Describe how to review texts,  Identify comparative adjectives in writing", Certification course,business
essential tips for copywriting, Alpha Academy,"15,477",https://alison.com/course/essential-tips-for-copywriting#l-main-pub,"Define and list the elements of copywriting,  Explain how to write eye-catching headlines and attentio,  Analyse the basics of copywriting from style to tone", Certification course,marketing
the art of tattooing dotwork, Lily Lu,"1,459",https://alison.com/course/the-art-of-tattooing-dotwork#l-main-pub,"Explain how to successfully perform dotwork tattooing,  Describe the different pieces of equipment required to s,  Discuss the various needles and inks used to apply tatto,  Recall the proper hygiene management used to ", Certification course,personal-development
japanese for beginners, Lucrative Skills,"27,450",https://alison.com/course/japanese-for-beginners#l-main-pub,"List the three writing script styles in Japan,  List the twelve months of the year and the se,  Outline the role and significance of each script style", Certification course,language
create profitable sales funnels with ease, Juan Galvan,"3,463",https://alison.com/course/create-profitable-sales-funnels-with-ease#l-main-pub,"List the three phases of a high converting sales funnel,  Describe how to create a lead magnet", Certification course,business
understanding software project management, EDUCBA,"2,257",https://alison.com/course/understanding-software-project-management#l-main-pub,"Define a project, project management, and software proje,  Distinguish between software development processes and s,  Explain the Rational Unified Process (RUP) an", Certification course,business
mastering the art of persuasive writing, YouAccel Training,"18,164",https://alison.com/course/mastering-the-art-of-persuasive-writing#l-main-pub,"Explain how words are used as a mechanism for changing m,  Discuss how language can be used to pursue professional ,  Analyze the skills required to become a ?grea", Certification course,personal-development
machine learning with artificial intelligence, NPTEL,"12,989",https://alison.com/course/machine-learning-with-artificial-intelligence#l-main-pub,"Define artificial intelligence and the different dimensi,  Describe the different developments in the history of ar,  Describe how heuristics could be formulated f", Certification course,Information Technology
how to plan and organize a party, Alpha Academy,"2,259",https://alison.com/course/how-to-plan-and-organize-a-party#l-main-pub,"Describe all the steps and techniques for organising par,  Identify all the steps and functions needed to start you,  Describe the different types of parties and their respec", Certification course,business
process structure and threading in operating systems, NPTEL,988,https://alison.com/course/process-structure-and-threading-in-operating-systems#l-main-pub,"Explain process representation and scheduling,  Discuss the concept of process structure in operating sy,  Discuss process creation and process operatio", Certification course,Information Technology
measuring the porosity and pore structure of construction materials, NPTEL,626,https://alison.com/course/measuring-the-porosity-and-pore-structure-of-construction-materials#l-main-pub,"Identify the types of porosity in construction materials,  Describe how porosity and pore structure affects the den,  Analyze the distinction between a pore and vo", Certification course,engineering
microsoft excel 2013 for beginners start your excel journey, SimonSezIT,"1,19,824",https://alison.com/course/microsoft-excel-2013-for-beginners-start-your-excel-journey#l-main-pub,"Recognize how to open a spreadsheet and save your work,  Identify where you can access the Ribbon, the Quick Acce,  Recognize how to backup and recover your work", Certification course,business
diversity equity and inclusion in marketing, Proactive Ideas,126,https://alison.com/course/diversity-equity-and-inclusion-in-marketing#l-main-pub,"Define diversity, equity, and inclusion,  Apply theories like Social Identity Theory and Intersect,  Identify unconscious biases and microaggressi", Certification course,business
django fundamentals the fast track, Digital Partner,"1,399",https://alison.com/course/django-fundamentals-the-fast-track#l-main-pub,"Compare the features of Python and Django,  Analyze the coding patterns for models in Django, along ,  Analyze the Django framework in-depth and understand its", Certification course,Information Technology
intrapersonal communication and development key traits, NPTEL,"6,279",https://alison.com/course/intrapersonal-communication-and-development-key-traits#l-main-pub,"Identify the importance of emotional management,  Outline the various ways of improving your emotional int,  Explain the concept of empathy and its releva", Certification course,personal-development
russian for beginners, Lucrative Skills,"5,456",https://alison.com/course/russian-for-beginners#l-main-pub,"Identify the Russian alphabet and letter groups,  Recall the essential rules for reading and pronunciation,  Compare the hard and soft consonants in the Russian phon,  Identify the personal pronouns, gender of nou", Certification course,language
essentials of macos, Mastermind Education,295,https://alison.com/course/essentials-of-macos#l-main-pub,"Identify and apply essential keyboard and mouse shortcut,  Evaluate the advantages of macOS over other operating sy,  Generate solutions for common issues using macOS trouble", Certification course,Information Technology
mastering autocad from beginner to pro, M-Tutor,"3,076",https://alison.com/course/mastering-autocad-from-beginner-to-pro#l-main-pub,"Explain the principles of operation of AutoCAD,  List the advantages and disadvantages of computers in th,  Summarise the system requirements and install", Certification course,Information Technology
customer service value in marketing analytics, NPTEL,"1,841",https://alison.com/course/customer-service-value-in-marketing-analytics#l-main-pub,"Explain the concept of customer service control in custo,  Describe how to check the ROC curve and optimal curve in,  Discuss the things marketers can focus on in ", Certification course,business
fundamentals of logo design, YouAccel Training,"17,328",https://alison.com/course/fundamentals-of-logo-design#l-main-pub,"Outlines the prerequisite of a professional logo design,  Analyze various software applications that fit into the ,  Outline the reasons why small businesses need,  Discuss the fundamentals of graphics", Certification course,personal-development
essentials of escaping consumerism, Study Booth,118,https://alison.com/course/essentials-of-escaping-consumerism#l-main-pub,"Define consumerism to interpret as well as analyse its i,  Discuss the alternative consumption models along with th,  Evaluate personal consumption habits for impr", Certification course,personal-development
essential onenote basics, SimonSezIT,"2,630",https://alison.com/course/essential-onenote-basics#l-main-pub,"Describe the ways in which you can access OneNote,  Identify the basic keyboard shortcuts and customize the ,  Discuss how to create, save, share and delete a notebook,  Identify the commands to add, move and delete", Certification course,Information Technology
content creation introduction 101, Stone River eLearning,"14,493",https://alison.com/course/content-creation-introduction-101#l-main-pub,"Discuss the benefits of the content creation business,  Indicate how content creation helps in generating passiv,  Explain the procedure of creating content and", Certification course,business
loading dock safety training, Alpha Academy,175,https://alison.com/course/loading-dock-safety-training#l-main-pub,"Explain a company's loading dock safety rules,  Explain the importance of the UK?s loading dock safety l,  Discuss how handling and care help dock tools,  State the functions of loading dock equipment", Certification course,management
sql server 2014 management studio, Workforce Academy Partnership,"2,709",https://alison.com/course/sql-server-2014-management-studio#l-main-pub,"Identify the tools contained in Management Studio,  Explain Object Explorer and use it to adminis,  Recall and set up the SQL Server environment", Certification course,Information Technology
master the metatrader platform, Daksh Murkute,"12,814",https://alison.com/course/master-the-metatrader-platform#l-main-pub,"Analyze the two ways of opening orders on MetaTrader,  Describe the four pending orders that MetaTrader 4 (MT4),  Outline the three essential types of charts p,  Define the different types of pending orders in MT4", Certification course,education
7 day pilates challenge 15 minute workouts, Balimser Elif Atay,"5,405",https://alison.com/course/7-day-pilates-challenge-15-minute-workouts#l-main-pub,"Recognize the benefits of Pilates,  Explain the different exercises", Certification course,personal-development
home education assessment and methods, Edukators London Ltd.,"2,982",https://alison.com/course/home-education-assessment-and-methods#l-main-pub,"Explain why many parents choose home education over trad,  Describe the different legalities that encompass home ed,  Outline the advantages and disadvantages of h", Certification course,education
danish for beginners, Lucrative Skills,"2,476",https://alison.com/course/danish-for-beginners#l-main-pub,"Recall vocabulary words taught in the lessons,  Match names of animals with their correct English names", Certification course,language
english grammar passive speech intermediate level, Advance Learning - Learn English,"6,269",https://alison.com/course/english-grammar-passive-speech-intermediate-level#l-main-pub,"Outline the differences between active and passive sente,  Identify the various forms of verbs used in passive sent,  List how the form of the verb changes positio", Certification course,language
top 25 excel formulas, Stone River eLearning,"8,615",https://alison.com/course/top-25-excel-formulas#l-main-pub,"Compute values using the ?if? function,  Identify the main logical and financial functions in a s,  Indicate arguments as true or false using the ?and? func,  Compare the uses of logical functions ?and/if", Certification course,Information Technology
ios app development data persistence with core data, Devslopes,"2,183",https://alison.com/course/ios-app-development-data-persistence-with-core-data#l-main-pub,"Describe working with the Core Data framework,  Outline how to build a iOS application with persistent d,  List the functions of the Managed Object Mode", Certification course,Information Technology
mindset essentials to communicate effectively and achieve your goals, Jose Ucar,"4,567",https://alison.com/course/mindset-essentials-to-communicate-effectively-and-achieve-your-goals#l-main-pub,"Outline the concept of mindset to win,  Identify the functions of the mind and thinki,  Describe the process of creating your own reality", Certification course,personal-development
photo editing using adobe lightroom, Matthew Storer,"5,904",https://alison.com/course/photo-editing-using-adobe-lightroom#l-main-pub,"State the importance of creating a photo catalog in Adob,  Recall the two methods of importing photos in Adobe Ligh,  Explain the purpose of rating photos in Adobe", Certification course,personal-development
building a brand strategy, Ilbey UÇAR,"2,756",https://alison.com/course/building-a-brand-strategy#l-main-pub,"Explain brand strategy and how it works,  Discuss how a brand can affect the emotions of its custo,  Summarise hybrid branding solutions for small and medium,  Outline the character typology of the custome", Certification course,business
introduction to c sharp programming revised, Channel 9,"22,608",https://alison.com/course/introduction-to-c-sharp-programming-revised#l-main-pub,"Install Visual Studio Express 2013 for Windows Desktop,  Organise the Visual C# Express Edition Integr,  Write basic code in the C# programming language", Certification course,Information Technology
fundamentals of music theory, Costas Christodoulou,"6,265",https://alison.com/course/fundamentals-of-music-theory#l-main-pub,"Define the meaning of rhythm in music,  State the different notes that can be found on a musical,  Identify all the basic notations for speed, dynamics, an,  Summarise the simple logic of reading the mus", Certification course,education
master the fibonacci technique, Daksh Murkute,"5,051",https://alison.com/course/master-the-fibonacci-technique#l-main-pub,"Analyze markets and stock charts,  Discuss the Fibonacci sequence", Certification course,education
react javascript fundamentals to coding and new beginnings, Digital Partner,"10,779",https://alison.com/course/react-javascript-fundamentals-to-coding-and-new-beginnings#l-main-pub,"Identify the prerequisites for working on React JS,  Outline all the essential components of React JS", Certification course,Information Technology
learn spanish prefixes and suffixes with reporting verbs, Advance Learning - Learn Spanish,429,https://alison.com/course/learn-spanish-prefixes-and-suffixes-with-reporting-verbs#l-main-pub,"Distinguish prefixes and suffixes, their meanings and us,  Analyze different forms of indirect speech used in the p,  Identify how and when to use ?antepresente pr", Certification course,education
media planning and strategy for advertising, EDUCBA,"4,158",https://alison.com/course/media-planning-and-strategy-for-advertising#l-main-pub,"Select a strategy for your media plan and advertising ca,  Identify the roles of a media planner in media planning ,  Define the basic terms and concepts used in m", Certification course,business
building a professional linkedin profile 2022, Teddy Burriss,"3,888",https://alison.com/course/building-a-professional-linkedin-profile-2022#l-main-pub,"Analyse the keyword richness of your professional Linked,  List the primary areas of a professional LinkedIn profil,  Indicate who should have a professional Linke", Certification course,business
interactive dashboards and data visualization in excel, Jordan Goldmeier,"3,868",https://alison.com/course/interactive-dashboards-and-data-visualization-in-excel#l-main-pub,"Explain the concept of dashboards,  Identify the functions of interactive dashboards in MS E,  Discuss the dynamics of information?transform", Certification course,Information Technology
how to use microsoft excel power pivot, Alpha Academy,641,https://alison.com/course/how-to-use-microsoft-excel-power-pivot#l-main-pub,"Compute complex calculations using DAX functions and exp,  Describe the fundamental features of Power Pivot and its,  Discuss best practices to Optimise Power Pivo", Certification course,Information Technology
user information security principles 10 tips for a secure practice, inforensic,"1,083",https://alison.com/course/user-information-security-principles-10-tips-for-a-secure-practice#l-main-pub,"Describe how to update and protect your systems and devi,  Outline the concept of backing up important files regula,  Analyse why it is important to respect your s", Certification course,personal-development
design and manufacture a training kit using pic microcontrollers, Ashraf Said AlMadhoun,"1,192",https://alison.com/course/design-and-manufacture-a-training-kit-using-pic-microcontrollers#l-main-pub,"Define a Printed Circuit Board (PCB) and a PIC microcont,  Recall how to download and install the Proteus professio,  List the main components of a PIC microcontro", Certification course,engineering
managing complex projects network methods and crashing, Maxus Knowledge,584,https://alison.com/course/managing-complex-projects-network-methods-and-crashing#l-main-pub,"Explain the importance of the network diagram,  Relate the fundamentals of creating an ?Activity on Arro,  Compute the Earliest Start, Earliest Finish, ", Certification course,business
basics of social science, Training Express,"2,532",https://alison.com/course/basics-of-social-science#l-main-pub,"Define ?social sciences? and outline their evolution,  Describe the relationship between science, philosophy an,  Discuss the subject of sociology along with its differen,  Analyze the role and limitations of economics", Certification course,education
how to develop an entrepreneurial mindset, EntrepreneurNOW! Network,"1,040",https://alison.com/course/how-to-develop-an-entrepreneurial-mindset#l-main-pub,"Discuss key financial metrics that drive your business,  Recognize the secret to becoming an instant leader in yo,  Describe how to build a cohesive messaging st", Certification course,business
ethical hacking basic concepts of networking, NPTEL,"14,894",https://alison.com/course/ethical-hacking-basic-concepts-of-networking#l-main-pub,"Compare ethical hacking and penetration testing,  Outline the different ways through which entry into a sy,  Discuss the roles of security and penetration", Certification course,Information Technology
foundations of facebook marketing and marketplace, Stone River eLearning,"8,184",https://alison.com/course/foundations-of-facebook-marketing-and-marketplace#l-main-pub,"Outline the basic properties of Facebook marketing,  Define the concept of 'going viral' on Facebook", Certification course,business
